ANO ;C�digo da Unidade da Federa��o;Nome da Unidade da Federa��o;C�digo do Munic�pio;Munic�pio                     ;Esperan�a de vida ao nascer;Mortalidade infantil
1991;31                            ;Minas Gerais                ;310010             ;Abadia dos Dourados           ;68,67                      ;27,69
1991;31                            ;Minas Gerais                ;310020             ;Abaet�                        ;68,04                      ;29,37
1991;31                            ;Minas Gerais                ;310030             ;Abre Campo                    ;65,67                      ;36,29
1991;31                            ;Minas Gerais                ;310040             ;Acaiaca                       ;63,15                      ;44,53
1991;31                            ;Minas Gerais                ;310050             ;A�ucena                       ;64,9                       ;38,70
1991;31                            ;Minas Gerais                ;310060             ;�gua Boa                      ;65,48                      ;38,40
1991;31                            ;Minas Gerais                ;310070             ;�gua Comprida                 ;70,55                      ;22,88
1991;31                            ;Minas Gerais                ;310080             ;Aguanil                       ;67,18                      ;31,80
1991;31                            ;Minas Gerais                ;310090             ;�guas Formosas                ;62,48                      ;46,90
1991;31                            ;Minas Gerais                ;310100             ;�guas Vermelhas               ;60,31                      ;55,03
1991;31                            ;Minas Gerais                ;310110             ;Aimor�s                       ;65,73                      ;36,09
1991;31                            ;Minas Gerais                ;310120             ;Aiuruoca                      ;66,83                      ;32,79
1991;31                            ;Minas Gerais                ;310130             ;Alagoa                        ;65,49                      ;36,85
1991;31                            ;Minas Gerais                ;310140             ;Albertina                     ;69,64                      ;25,14
1991;31                            ;Minas Gerais                ;310150             ;Al�m Para�ba                  ;67,25                      ;31,60
1991;31                            ;Minas Gerais                ;310160             ;Alfenas                       ;70,52                      ;22,96
1991;31                            ;Minas Gerais                ;310163             ;Alfredo Vasconcelos           ;66,36                      ;34,20
1991;31                            ;Minas Gerais                ;310170             ;Almenara                      ;62,72                      ;47,68
1991;31                            ;Minas Gerais                ;310180             ;Alpercata                     ;67,93                      ;29,69
1991;31                            ;Minas Gerais                ;310190             ;Alpin�polis                   ;69,06                      ;26,65
1991;31                            ;Minas Gerais                ;310200             ;Alterosa                      ;67,57                      ;30,70
1991;31                            ;Minas Gerais                ;310205             ;Alto Capara�                  ;66,83                      ;32,81
1991;31                            ;Minas Gerais                ;310210             ;Alto Rio Doce                 ;64,41                      ;40,28
1991;31                            ;Minas Gerais                ;310220             ;Alvarenga                     ;63,92                      ;41,90
1991;31                            ;Minas Gerais                ;310230             ;Alvin�polis                   ;66,61                      ;33,45
1991;31                            ;Minas Gerais                ;310240             ;Alvorada de Minas             ;65,54                      ;36,67
1991;31                            ;Minas Gerais                ;310250             ;Amparo do Serra               ;62,78                      ;45,82
1991;31                            ;Minas Gerais                ;310260             ;Andradas                      ;70,96                      ;21,90
1991;31                            ;Minas Gerais                ;310270             ;Cachoeira de Paje�            ;62,48                      ;46,90
1991;31                            ;Minas Gerais                ;310280             ;Andrel�ndia                   ;64,39                      ;41,16
1991;31                            ;Minas Gerais                ;310285             ;Angel�ndia                    ;62,66                      ;49,43
1991;31                            ;Minas Gerais                ;310290             ;Ant�nio Carlos                ;67,67                      ;30,40
1991;31                            ;Minas Gerais                ;310300             ;Ant�nio Dias                  ;65,64                      ;36,38
1991;31                            ;Minas Gerais                ;310310             ;Ant�nio Prado de Minas        ;64,42                      ;40,27
1991;31                            ;Minas Gerais                ;310320             ;Ara�a�                        ;65,76                      ;36,00
1991;31                            ;Minas Gerais                ;310330             ;Aracitaba                     ;64,87                      ;38,81
1991;31                            ;Minas Gerais                ;310340             ;Ara�ua�                       ;64,14                      ;41,19
1991;31                            ;Minas Gerais                ;310350             ;Araguari                      ;70,96                      ;21,90
1991;31                            ;Minas Gerais                ;310360             ;Arantina                      ;66,28                      ;34,44
1991;31                            ;Minas Gerais                ;310370             ;Araponga                      ;60,21                      ;56,15
1991;31                            ;Minas Gerais                ;310375             ;Arapor�                       ;69,06                      ;26,65
1991;31                            ;Minas Gerais                ;310380             ;Arapu�                        ;69,61                      ;25,23
1991;31                            ;Minas Gerais                ;310390             ;Ara�jos                       ;67,63                      ;30,51
1991;31                            ;Minas Gerais                ;310400             ;Arax�                         ;67,41                      ;31,13
1991;31                            ;Minas Gerais                ;310410             ;Arceburgo                     ;64,93                      ;38,62
1991;31                            ;Minas Gerais                ;310420             ;Arcos                         ;68,59                      ;27,89
1991;31                            ;Minas Gerais                ;310430             ;Areado                        ;67,59                      ;30,63
1991;31                            ;Minas Gerais                ;310440             ;Argirita                      ;67,37                      ;31,26
1991;31                            ;Minas Gerais                ;310445             ;Aricanduva                    ;64,95                      ;39,54
1991;31                            ;Minas Gerais                ;310450             ;Arinos                        ;64,59                      ;39,72
1991;31                            ;Minas Gerais                ;310460             ;Astolfo Dutra                 ;67,52                      ;30,82
1991;31                            ;Minas Gerais                ;310470             ;Atal�ia                       ;63,97                      ;45,26
